ts,door_id,mount_pos,sample_hz,ax,ay,az,gx,gy,gz,a_mag,w_mag,label
1761680295.947174,doorA,pos1,100,-0.290527,-0.952881,0.115967,-3.153,-1.534,-1.046,1.002914,3.658862,open
1761680295.957174,doorA,pos1,100,-0.293457,-0.937744,0.117676,-3.008,-1.405,-1.130,0.989610,3.506435,open
1761680295.967172,doorA,pos1,100,-0.296143,-0.924316,0.133545,-3.076,-1.595,-1.008,0.979743,3.608952,open
1761680295.977172,doorA,pos1,100,-0.295898,-0.952393,0.110840,-3.008,-1.511,-1.519,1.003441,3.692961,open
1761680295.987174,doorA,pos1,100,-0.292969,-0.940430,0.117188,-2.969,-1.534,-0.809,0.991953,3.438997,open
1761680295.997174,doorA,pos1,100,-0.288574,-0.953125,0.112061,-3.015,-1.405,-1.542,1.002138,3.666388,open
1761680296.007173,doorA,pos1,100,-0.289062,-0.935059,0.123779,-2.954,-1.595,-0.863,0.986516,3.466515,open
1761680296.017174,doorA,pos1,100,-0.293457,-0.942871,0.122314,-3.015,-1.382,-1.412,0.995030,3.604889,open
1761680296.027174,doorA,pos1,100,-0.290771,-0.939453,0.115967,-3.069,-1.466,-0.916,0.990237,3.521956,open
1761680296.037173,doorA,pos1,100,-0.291016,-0.935303,0.115723,-3.069,-1.534,-1.305,0.986343,3.670843,open
1761680296.047173,doorA,pos1,100,-0.287598,-0.938721,0.108887,-2.985,-1.397,-0.985,0.987808,3.439446,open
1761680296.057173,doorA,pos1,100,-0.291016,-0.935547,0.115234,-2.969,-1.237,-1.214,0.986518,3.438048,open
1761680296.067173,doorA,pos1,100,-0.291748,-0.939941,0.114990,-3.092,-1.481,-1.160,0.990873,3.619037,open
1761680296.077173,doorA,pos1,100,-0.294922,-0.937988,0.110840,-3.031,-1.344,-1.252,0.989488,3.543506,open
1761680296.087174,doorA,pos1,100,-0.294922,-0.942871,0.119141,-3.145,-1.519,-1.076,0.995078,3.654775,open
1761680296.097173,doorA,pos1,100,-0.305908,-0.932617,0.111572,-3.206,-1.496,-1.206,0.987827,3.737965,open
1761680296.107172,doorA,pos1,100,-0.290039,-0.932373,0.113281,-3.008,-1.374,-1.038,0.982993,3.465783,open
1761680296.117175,doorA,pos1,100,-0.281494,-0.939941,0.107910,-3.130,-1.504,-1.076,0.987104,3.635303,open
1761680296.127172,doorA,pos1,100,-0.294434,-0.936523,0.109131,-3.145,-1.420,-1.511,0.987764,3.767189,open
1761680296.137173,doorA,pos1,100,-0.311279,-0.950439,0.113037,-2.977,-1.649,-0.824,1.006483,3.501646,open
1761680296.147175,doorA,pos1,100,-0.307373,-0.924561,0.119873,-3.130,-1.466,-1.427,0.981662,3.739157,open
1761680296.157174,doorA,pos1,100,-0.293213,-0.938721,0.116211,-3.046,-1.672,-0.824,0.990291,3.570904,open
1761680296.167174,doorA,pos1,100,-0.295166,-0.937988,0.134033,-2.931,-1.534,-1.511,0.992426,3.637475,open
1761680296.177174,doorA,pos1,100,-0.289307,-0.949707,0.118164,-3.008,-1.435,-0.725,0.999802,3.410471,open
1761680296.187173,doorA,pos1,100,-0.290283,-0.942139,0.111572,-2.985,-1.618,-1.397,0.992138,3.671383,open
1761680296.197174,doorA,pos1,100,-0.296143,-0.939941,0.098877,-2.939,-1.405,-0.901,0.990438,3.379576,open
1761680296.207191,doorA,pos1,100,-0.288574,-0.942139,0.116943,-2.931,-1.504,-1.198,0.992258,3.505754,open
1761680296.217183,doorA,pos1,100,-0.295898,-0.937744,0.116211,-2.939,-1.435,-1.046,0.990164,3.433740,open
1761680296.227177,doorA,pos1,100,-0.297607,-0.936279,0.110840,-3.046,-1.519,-1.359,0.988673,3.664806,open
1761680296.237175,doorA,pos1,100,-0.291992,-0.937988,0.124023,-2.954,-1.382,-0.969,0.990183,3.402380,open
1761680296.247176,doorA,pos1,100,-0.289551,-0.935303,0.117188,-3.160,-1.542,-1.061,0.986085,3.673025,open
1761680296.257175,doorA,pos1,100,-0.300537,-0.938721,0.114502,-3.015,-1.427,-1.344,0.992285,3.596465,open
1761680296.267175,doorA,pos1,100,-0.291992,-0.938232,0.113281,-3.038,-1.618,-1.168,0.989127,3.635039,open
1761680296.277227,doorA,pos1,100,-0.295654,-0.949951,0.111328,-2.931,-1.313,-1.221,1.001106,3.436302,open
1761680296.287228,doorA,pos1,100,-0.288818,-0.937744,0.111572,-2.885,-1.611,-0.840,0.987537,3.409617,open
1761680296.297185,doorA,pos1,100,-0.289551,-0.924805,0.123291,-3.130,-1.450,-1.397,0.976885,3.721630,open
1761680296.307176,doorA,pos1,100,-0.293945,-0.922852,0.097168,-3.099,-1.443,-0.885,0.973396,3.531415,open
1761680296.317177,doorA,pos1,100,-0.291260,-0.951172,0.110352,-3.153,-1.618,-1.366,1.000868,3.798076,open
1761680296.327167,doorA,pos1,100,-0.297607,-0.939453,0.122803,-3.038,-1.366,-0.740,0.993088,3.412598,open
1761680296.337175,doorA,pos1,100,-0.294678,-0.940918,0.117920,-2.947,-1.496,-1.542,0.993009,3.646714,open
1761680296.347178,doorA,pos1,100,-0.291260,-0.941406,0.114014,-3.031,-1.466,-0.977,0.992007,3.505280,open
1761680296.357176,doorA,pos1,100,-0.296631,-0.939697,0.116211,-2.931,-1.504,-1.176,0.992233,3.497991,open
1761680296.367177,doorA,pos1,100,-0.294922,-0.937500,0.114258,-3.046,-1.511,-0.809,0.989414,3.495158,open
1761680296.377176,doorA,pos1,100,-0.298828,-0.943848,0.117432,-3.107,-1.481,-1.473,0.996964,3.743837,open
1761680296.387175,doorA,pos1,100,-0.292725,-0.945068,0.118652,-3.015,-1.359,-1.000,0.996454,3.455158,open
1761680296.397175,doorA,pos1,100,-0.295166,-0.941895,0.114990,-3.260,-1.412,-1.336,0.993736,3.795198,open
1761680296.407176,doorA,pos1,100,-0.292725,-0.936523,0.120117,-2.954,-1.634,-0.847,0.988530,3.480497,open
1761680296.417175,doorA,pos1,100,-0.289795,-0.940186,0.117432,-3.061,-1.557,-1.107,0.990818,3.608370,open
1761680296.427175,doorA,pos1,100,-0.290771,-0.940186,0.123291,-3.160,-1.595,-1.137,0.991815,3.718411,open
1761680296.437175,doorA,pos1,100,-0.290771,-0.932373,0.121094,-3.183,-1.473,-0.885,0.984140,3.617660,open
1761680296.447174,doorA,pos1,100,-0.288330,-0.935059,0.117432,-3.198,-1.382,-1.023,0.985525,3.631197,open
1761680296.457174,doorA,pos1,100,-0.294678,-0.924072,0.115723,-3.053,-1.336,-0.870,0.976799,3.444609,open
1761680296.467175,doorA,pos1,100,-0.289062,-0.942383,0.117188,-2.924,-1.481,-1.168,0.992661,3.479225,open
1761680296.477174,doorA,pos1,100,-0.293701,-0.937256,0.115234,-2.962,-1.489,-0.954,0.988933,3.449453,open
1761680296.487173,doorA,pos1,100,-0.306885,-0.925537,0.125000,-2.931,-1.527,-1.275,0.983068,3.542388,open
1761680296.497174,doorA,pos1,100,-0.311523,-0.938965,0.115479,-3.084,-1.420,-0.931,0.996011,3.520533,open
1761680296.507174,doorA,pos1,100,-0.295654,-0.924072,0.119873,-3.206,-1.534,-1.366,0.977594,3.807944,open
1761680296.517174,doorA,pos1,100,-0.293701,-0.940918,0.115723,-2.954,-1.603,-0.969,0.992461,3.498133,open
1761680296.527173,doorA,pos1,100,-0.291504,-0.938721,0.115234,-3.076,-1.519,-1.443,0.989672,3.721959,open
1761680296.537172,doorA,pos1,100,-0.291260,-0.938477,0.112793,-3.153,-1.496,-0.901,0.989087,3.604064,open
1761680296.547174,doorA,pos1,100,-0.291992,-0.939209,0.108887,-3.145,-1.458,-1.382,0.989560,3.731771,open
1761680296.557175,doorA,pos1,100,-0.288086,-0.935303,0.109375,-3.145,-1.481,-1.145,0.984758,3.659985,open
1761680296.567174,doorA,pos1,100,-0.291504,-0.937012,0.124512,-3.008,-1.649,-1.328,0.989176,3.678154,open
1761680296.577175,doorA,pos1,100,-0.294189,-0.945068,0.115723,-3.214,-1.489,-0.924,0.996541,3.660200,open
1761680296.587174,doorA,pos1,100,-0.295898,-0.942139,0.112793,-3.115,-1.565,-1.053,0.993933,3.641253,open
1761680296.597174,doorA,pos1,100,-0.295410,-0.938965,0.117188,-3.168,-1.336,-1.115,0.991290,3.614212,open
1761680296.607173,doorA,pos1,100,-0.283203,-0.942627,0.109863,-3.053,-1.382,-1.221,0.990363,3.567108,open
1761680296.617175,doorA,pos1,100,-0.290039,-0.937500,0.123779,-3.046,-1.511,-1.244,0.989116,3.620719,open
1761680296.627174,doorA,pos1,100,-0.295410,-0.948486,0.110840,-3.076,-1.366,-1.397,0.999589,3.644501,open
1761680296.637174,doorA,pos1,100,-0.291748,-0.951172,0.107910,-3.061,-1.534,-1.099,1.000744,3.596206,open
1761680296.647173,doorA,pos1,100,-0.285156,-0.939941,0.109131,-3.031,-1.618,-0.939,0.988288,3.561558,open
1761680296.657174,doorA,pos1,100,-0.296143,-0.935303,0.094482,-2.954,-1.595,-1.153,0.985606,3.549832,open
1761680296.667174,doorA,pos1,100,-0.308838,-0.923584,0.116455,-3.061,-1.519,-0.824,0.980790,3.515315,open
1761680296.677175,doorA,pos1,100,-0.289551,-0.940430,0.107910,-3.053,-1.489,-1.466,0.989895,3.699645,open
1761680296.687173,doorA,pos1,100,-0.292725,-0.948486,0.117188,-3.176,-1.527,-0.969,0.999523,3.654448,open
1761680296.697174,doorA,pos1,100,-0.295898,-0.941650,0.113281,-2.870,-1.473,-1.282,0.993526,3.471806,open
1761680296.707174,doorA,pos1,100,-0.298096,-0.937500,0.107666,-2.985,-1.550,-0.901,0.989626,3.481569,open
1761680296.717201,doorA,pos1,100,-0.294678,-0.943115,0.114014,-3.031,-1.366,-1.099,0.994636,3.501363,open
1761680296.727175,doorA,pos1,100,-0.291748,-0.940430,0.116211,-3.053,-1.336,-1.008,0.991479,3.481862,open
1761680296.737174,doorA,pos1,100,-0.288574,-0.935791,0.114502,-3.076,-1.466,-1.229,0.985947,3.622489,open
1761680296.747175,doorA,pos1,100,-0.285889,-0.933105,0.114746,-3.191,-1.435,-1.176,0.982642,3.690932,open
1761680296.757175,doorA,pos1,100,-0.294678,-0.936035,0.118164,-3.053,-1.359,-1.198,0.988413,3.550505,open
1761680296.767175,doorA,pos1,100,-0.294434,-0.938965,0.105713,-3.107,-1.450,-1.008,0.989708,3.573734,open
1761680296.777174,doorA,pos1,100,-0.294434,-0.939209,0.120117,-2.985,-1.496,-1.282,0.991581,3.576570,open
1761680296.787174,doorA,pos1,100,-0.288574,-0.937256,0.114014,-2.992,-1.458,-1.313,0.987280,3.578264,open
1761680296.797174,doorA,pos1,100,-0.308838,-0.923340,0.108643,-2.977,-1.519,-1.115,0.979663,3.523188,open
1761680296.807174,doorA,pos1,100,-0.290283,-0.937012,0.119629,-3.176,-1.420,-1.344,0.988214,3.728974,open
1761680296.817175,doorA,pos1,100,-0.293213,-0.937012,0.107422,-3.069,-1.504,-1.107,0.987676,3.592153,open
1761680296.827174,doorA,pos1,100,-0.296631,-0.924316,0.114990,-3.023,-1.405,-1.305,0.977534,3.579762,open
1761680296.837173,doorA,pos1,100,-0.292725,-0.925537,0.139648,-2.916,-1.595,-0.710,0.980718,3.398910,open
1761680296.847174,doorA,pos1,100,-0.300293,-0.952393,0.095947,-2.931,-1.588,-1.298,1.003212,3.577376,open
1761680296.857177,doorA,pos1,100,-0.293701,-0.953125,0.118896,-3.137,-1.550,-0.947,1.004412,3.624998,open
1761680296.867175,doorA,pos1,100,-0.295166,-0.940918,0.115479,-3.038,-1.298,-1.298,0.992867,3.549446,open
1761680296.877174,doorA,pos1,100,-0.297607,-0.943359,0.115723,-3.038,-1.466,-0.885,0.995936,3.487505,open
1761680296.887176,doorA,pos1,100,-0.287354,-0.943359,0.113525,-2.977,-1.565,-1.267,0.992667,3.594123,open
1761680296.897174,doorA,pos1,100,-0.299805,-0.941406,0.120605,-3.038,-1.496,-0.916,0.995326,3.508296,open
1761680296.907170,doorA,pos1,100,-0.295654,-0.941406,0.113037,-3.008,-1.458,-1.298,0.993194,3.585487,open
1761680296.917176,doorA,pos1,100,-0.291748,-0.936279,0.114014,-3.168,-1.458,-0.931,0.987287,3.609565,open
1761680296.927173,doorA,pos1,100,-0.289795,-0.941162,0.105957,-2.985,-1.382,-1.046,0.990451,3.451285,open
1761680296.937175,doorA,pos1,100,-0.296631,-0.934326,0.111816,-2.985,-1.511,-1.023,0.986640,3.498491,open
1761680296.947175,doorA,pos1,100,-0.294922,-0.937012,0.117432,-3.130,-1.389,-1.168,0.989323,3.617974,open
1761680296.957174,doorA,pos1,100,-0.295166,-0.937744,0.121582,-2.977,-1.344,-1.115,0.990590,3.451125,open
1761680296.967172,doorA,pos1,100,-0.293701,-0.941895,0.115723,-3.107,-1.595,-1.069,0.993387,3.652415,open
1761680296.977182,doorA,pos1,100,-0.311523,-0.942383,0.114502,-3.099,-1.603,-1.244,0.999121,3.704493,open
1761680296.987167,doorA,pos1,100,-0.312500,-0.947021,0.111816,-3.046,-1.519,-1.023,1.003498,3.553991,open
1761680296.997177,doorA,pos1,100,-0.299805,-0.926025,0.094971,-3.008,-1.481,-1.061,0.977970,3.516367,open
1761680297.007172,doorA,pos1,100,-0.306152,-0.935303,0.117188,-3.115,-1.634,-0.786,0.991087,3.603741,open
1761680297.017177,doorA,pos1,100,-0.292725,-0.940918,0.134033,-2.985,-1.405,-1.229,0.994474,3.520218,open
1761680297.027175,doorA,pos1,100,-0.294922,-0.937744,0.116699,-2.893,-1.542,-1.137,0.989930,3.470102,open
1761680297.037176,doorA,pos1,100,-0.295166,-0.938721,0.101074,-3.023,-1.664,-1.458,0.989210,3.746070,open
1761680297.047177,doorA,pos1,100,-0.292969,-0.938477,0.122559,-3.061,-1.382,-0.893,0.990752,3.475178,open
1761680297.057176,doorA,pos1,100,-0.287354,-0.935547,0.102295,-3.092,-1.534,-1.550,0.984014,3.783327,open
1761680297.067175,doorA,pos1,100,-0.295654,-0.944824,0.120850,-2.908,-1.405,-0.863,0.997351,3.343006,open
1761680297.077175,doorA,pos1,100,-0.289551,-0.937256,0.112061,-3.076,-1.527,-1.344,0.987343,3.687781,open
1761680297.087173,doorA,pos1,100,-0.292969,-0.937500,0.117188,-3.076,-1.573,-0.924,0.989176,3.576285,open
