ts,door_id,mount_pos,sample_hz,ax,ay,az,gx,gy,gz,a_mag,w_mag,label
1761619114.448438,doorA,pos1,100,-0.963135,0.003174,-0.068115,-3.275,-1.496,-1.069,0.965546,3.755671,idle
1761619114.458448,doorA,pos1,100,-0.953369,0.003174,-0.064209,-3.046,-1.519,-1.046,0.955534,3.560649,idle
1761619114.468455,doorA,pos1,100,-0.960938,0.002197,-0.076416,-3.191,-1.443,-1.069,0.963974,3.661298,idle
1761619114.478459,doorA,pos1,100,-0.958252,0.005371,-0.070312,-2.962,-1.427,-1.183,0.960843,3.494299,idle
1761619114.488440,doorA,pos1,100,-0.956299,0.008301,-0.069824,-3.160,-1.328,-0.725,0.958880,3.503950,idle
1761619114.498446,doorA,pos1,100,-0.957275,0.003662,-0.073730,-3.168,-1.542,-1.191,0.960118,3.719093,idle
1761619114.508439,doorA,pos1,100,-0.959229,0.005859,-0.074463,-3.237,-1.435,-0.802,0.962132,3.630130,idle
1761619114.518447,doorA,pos1,100,-0.965576,0.002441,-0.073975,-3.221,-1.397,-1.084,0.968409,3.674738,idle
1761619114.528437,doorA,pos1,100,-0.959229,0.006104,-0.075684,-3.107,-1.336,-0.771,0.962229,3.468666,idle
1761619114.538447,doorA,pos1,100,-0.965088,0.008545,-0.076904,-3.122,-1.466,-1.305,0.968185,3.687789,idle
1761619114.548438,doorA,pos1,100,-0.961182,0.005127,-0.073486,-3.176,-1.473,-0.679,0.964000,3.566005,idle
1761619114.558446,doorA,pos1,100,-0.959473,-0.015381,-0.081543,-3.160,-1.634,-1.351,0.963054,3.805487,idle
1761619114.568437,doorA,pos1,100,-0.961914,0.006348,-0.070312,-3.130,-1.366,-0.756,0.964501,3.497666,idle
1761619114.578447,doorA,pos1,100,-0.964111,-0.010986,-0.070068,-3.099,-1.435,-1.160,0.966717,3.607094,idle
1761619114.588439,doorA,pos1,100,-0.955811,0.004395,-0.074951,-3.145,-1.397,-0.603,0.958755,3.493766,idle
1761619114.598449,doorA,pos1,100,-0.961914,-0.010742,-0.072998,-3.275,-1.450,-1.344,0.964740,3.825311,idle
1761619114.608439,doorA,pos1,100,-0.955811,0.004150,-0.066895,-3.115,-1.489,-0.718,0.958158,3.525734,idle
1761619114.618448,doorA,pos1,100,-0.958008,-0.002441,-0.079102,-3.099,-1.435,-1.084,0.961271,3.583268,idle
1761619114.628428,doorA,pos1,100,-0.957520,0.006348,-0.079590,-3.260,-1.489,-0.687,0.960843,3.648615,idle
1761619114.638449,doorA,pos1,100,-0.956787,0.003174,-0.077148,-2.977,-1.374,-1.198,0.959898,3.491054,idle
1761619114.648438,doorA,pos1,100,-0.963867,0.004883,-0.073242,-3.183,-1.244,-0.733,0.966658,3.495433,idle
1761619114.658445,doorA,pos1,100,-0.964355,0.004639,-0.083008,-3.328,-1.588,-1.374,0.967932,3.935261,idle
1761619114.668437,doorA,pos1,100,-0.955322,0.004639,-0.070312,-3.206,-1.344,-0.908,0.957918,3.592956,idle
1761619114.678445,doorA,pos1,100,-0.958496,0.005127,-0.072510,-3.000,-1.595,-1.191,0.961249,3.600481,idle
1761619114.688437,doorA,pos1,100,-0.962158,0.007812,-0.067627,-3.168,-1.687,-0.901,0.964564,3.700440,idle
1761619114.698447,doorA,pos1,100,-0.957275,0.000732,-0.067627,-3.206,-1.336,-1.115,0.959661,3.647713,idle
1761619114.708446,doorA,pos1,100,-0.961670,0.007568,-0.071045,-3.214,-1.588,-0.802,0.964320,3.673097,idle
1761619114.718449,doorA,pos1,100,-0.962891,0.002930,-0.075195,-3.115,-1.374,-1.168,0.965827,3.598919,idle
1761619114.728438,doorA,pos1,100,-0.958740,0.005127,-0.068359,-3.023,-1.519,-0.832,0.961188,3.483945,idle
1761619114.738446,doorA,pos1,100,-0.958496,0.005615,-0.071777,-3.130,-1.511,-0.969,0.961196,3.608298,idle
